v3,1 ile 10. satır aralığı yönetici bazlı v3 performans tablosudur (Varış merkezinde 12:00 den önce karşılanan seferleri hesaplar),,,,,,,Only City,,,,,,,,Saatlik 1. slot yetişme oranları,,,,,,,,,,Saatlik 2. slot yetişme oranları,,,,,,,,,,Saatlik hesaplanan adetler,,,,,,"69,39%","97,53%",,,01:00 den 16:00 ya kadar yüklenen adetler,,,,,,,,,Günlük yetişme oranları,,,,,,
İkitelli-Defne Transfer Merkezi,"0,00%","0,00%",0,0,0,0,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%",0,0,0,0,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,0,0,0,0,0,0,0,,İkitelli-Defne Transfer Merkezi,,0,,,0,0,0,,,,,,,,
23 Mart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,95%","96,07%",,,,,,,,,,,,,,,,,,
Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,%,Total Gönderi,,Gece inbound,V1 (01:00-16:00),1,2,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
13,"27,98%","37,83%",106.676,144.225,381.249,596.533,,13,"22,56%","31,00%",85.997,118.176,260.442,595.915,,13,"0,00%","66,46%","70,57%","47,04%","9,23%","26,25%","4,92%","11,13%",,13,"5,12%","13,30%","15,52%","35,36%","50,32%","25,58%","48,39%","60,55%",,13,"0,00%","11,90%","8,42%","9,12%","11,35%","24,16%","31,13%","3,93%",,13,"3,57%",596.533,,28.808,50.109,"5,1%","3,5%",,13,"27,98%","37,83%",106.676,144.225,381.249,596.533
Ankara Kazan SC,"10,96%","31,16%",8.757,24.904,79.922,195.802,,Ankara Kazan SC,"10,53%","29,81%",8.413,23.822,51.583,195.480,,Ankara Kazan SC,"0,00%","49,83%","22,11%","0,00%","0,00%","0,00%","0,00%","0,00%",,Ankara Kazan SC,"0,00%","19,26%","20,84%","0,00%","39,06%","39,97%","26,04%","44,78%",,Ankara Kazan SC,0,36.055,6.167,0,40.917,54.162,53.290,5.211,,Ankara Kazan SC,,195.802,,,16.276,10.846,0,,Pazartesi,"24,66%","40,24%",22.309,36.406,90.483,125.893
Esenyurt SC ,"27,43%","38,64%",28.408,40.015,103.556,126.389,,Esenyurt SC ,"24,59%","38,62%",25.460,39.996,87.173,126.175,,Esenyurt SC ,"0,00%","76,72%","86,45%","2,44%","22,78%","0,01%","0,00%","0,00%",,Esenyurt SC ,"0,00%","11,99%","5,64%","57,87%","44,99%","63,38%","45,07%","66,61%",,Esenyurt SC ,0,17.610,23.469,9.052,17.287,18.593,33.787,6.591,,Esenyurt SC ,,126.389,,,13.631,4.514,3.683,,Salı,"23,04%","38,69%",19.973,33.536,86.670,119.026
Gebze SC,"29,56%","53,43%",32.023,57.886,108.333,142.995,,Gebze SC,"21,55%","34,90%",23.344,37.803,64.777,142.939,,Gebze SC,"0,00%","60,45%","63,06%","50,06%","0,00%","17,55%","8,56%","0,00%",,Gebze SC,"0,00%","23,16%","25,18%","35,74%","81,94%","68,18%","71,55%","78,99%",,Gebze SC,0,8.877,20.603,39.377,9.500,12.170,43.140,9.328,,Gebze SC,,142.995,,,7.501,4.210,0,,Çarşamba,"20,08%","45,41%",12.033,27.209,59.912,98.753
Bursa MH,"55,10%","17,86%",27.200,8.817,49.366,51.937,,Bursa MH,"40,22%","8,01%",19.853,3.954,23.875,51.912,,Bursa MH,"0,00%","0,00%","0,00%","91,15%","0,00%","57,05%","28,21%","0,00%",,Bursa MH,"0,00%","0,00%","0,00%","3,08%","0,00%","8,47%","35,28%","0,00%",,Bursa MH,0,0,0,5.956,0,35.615,10.366,0,,Bursa MH,,51.937,,,8.428,0,5.497,,Perşembe,"28,29%","37,88%",16.204,21.699,57.286,96.315
Antalya MH,"0,00%","42,61%",1,12.600,29.569,63.169,,Antalya MH,"0,00%","42,61%",1,12.598,24.097,63.169,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","44,97%","0,00%",,Antalya MH,0,0,0,0,0,18.071,45.098,0,,Antalya MH,,63.169,,,4.273,0,4.167,,Cuma,"27,61%","40,00%",14.266,20.667,51.670,88.938
Denizli MH,"90,54%","0,00%",2.010,0,2.220,2.300,,Denizli MH,"29,23%","0,00%",649,0,654,2.299,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","90,54%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,0,0,2.300,,Denizli MH,,2.300,,,0,0,0,,Cumartesi,"62,14%","13,36%",21.891,4.708,35.228,67.608
İkitelli-Defne Transfer Merkezi,"99,93%","0,04%",8.277,3,8.283,13.941,,İkitelli-Defne Transfer Merkezi,"99,93%","0,04%",8.277,3,8.283,13.941,,İkitelli-Defne Transfer Merkezi,"0,00%","99,88%","0,00%","0,00%","0,00%","100,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,06%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,8.445,0,0,0,5.496,0,0,,İkitelli-Defne Transfer Merkezi,,13.941,,,0,0,0,,,,,,,,
30 Mart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,40%","98,16%",,,,,,,,,,,,,,,,,,
Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,%,Total Gönderi,,Gece inbound,V1 (01:00-16:00),1,2,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
14,"32,26%","36,73%",108.888,123.949,337.486,571.028,,14,"25,25%","31,00%",85.212,104.609,231.931,569.934,,14,"71,36%","80,57%","61,25%","54,47%","1,95%","43,27%","4,45%","14,77%",,14,"8,96%","7,39%","21,34%","23,92%","55,60%","28,59%","55,28%","25,11%",,14,"1,20%","11,77%","5,75%","7,69%","9,16%","27,82%","34,76%","1,84%",,14,"4,25%",571.028,,12.621,36.872,"0,8%","0,7%",,14,"32,26%","36,73%",108.888,123.949,337.486,571.028
Ankara Kazan SC,"16,38%","32,81%",11.729,23.490,71.599,206.484,,Ankara Kazan SC,"14,93%","30,93%",10.690,22.149,46.470,205.503,,Ankara Kazan SC,"71,36%","65,60%","0,00%","18,12%","0,00%","0,00%","0,00%","0,00%",,Ankara Kazan SC,"8,96%","13,10%","42,28%","36,19%","47,87%","43,87%","28,89%","0,27%",,Ankara Kazan SC,6.847,34.433,7.510,18.250,41.658,50.186,40.912,6.688,,Ankara Kazan SC,,206.484,,,17.020,989,541,,Pazartesi,"28,24%","39,29%",26.712,37.163,94.581,145.921
Esenyurt SC ,"31,53%","41,62%",27.303,36.044,86.597,107.888,,Esenyurt SC ,"27,73%","41,61%",24.017,36.037,72.763,107.830,,Esenyurt SC ,"0,00%","88,57%","91,18%","0,00%","5,02%","1,23%","0,00%","0,00%",,Esenyurt SC ,"0,00%","4,35%","4,74%","0,00%","67,70%","66,92%","59,21%","0,00%",,Esenyurt SC ,0,32.790,8.321,0,10.643,7.417,48.717,0,,Esenyurt SC ,,107.888,,,9.113,0,1.961,,Salı,"31,13%","38,25%",16.697,20.516,53.630,88.846
Gebze SC,"26,62%","54,08%",24.064,48.892,90.410,120.447,,Gebze SC,"18,46%","36,24%",16.686,32.765,54.565,120.414,,Gebze SC,"0,00%","0,00%","60,41%","70,79%","0,00%","18,52%","0,00%","0,00%",,Gebze SC,"0,00%","0,00%","24,85%","18,41%","0,00%","64,35%","74,24%","70,13%",,Gebze SC,0,0,17.017,25.672,0,28.395,47.693,1.670,,Gebze SC,,120.447,,,6.801,1.680,0,,Çarşamba,"26,82%","38,54%",14.452,20.770,53.893,101.768
Bursa MH,"66,11%","6,87%",28.639,2.975,43.320,45.862,,Bursa MH,"47,05%","2,56%",20.380,1.110,21.526,45.854,,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","67,47%","0,00%","38,95%",,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","5,84%","0,00%","27,37%",,Bursa MH,0,0,0,0,0,43.714,0,2.148,,Bursa MH,,45.862,,,3.938,0,0,,Perşembe,"31,92%","37,03%",15.422,17.890,48.314,80.894
Antalya MH,"8,58%","40,40%",2.666,12.548,31.059,59.641,,Antalya MH,"8,58%","40,40%",2.666,12.548,25.826,59.641,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","41,32%","0,00%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","19,40%","45,91%","0,00%",,Antalya MH,0,0,0,0,0,13.942,45.699,0,,Antalya MH,,59.641,,,0,0,0,,Cuma,"29,33%","39,41%",14.262,19.165,48.633,81.408
Denizli MH,"99,85%","0,00%",5.440,0,5.448,15.475,,Denizli MH,"31,83%","0,00%",1.734,0,1.736,15.475,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","99,85%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,0,15.475,0,,Denizli MH,,15.475,,,0,0,0,,Cumartesi,"55,53%","21,97%",21.343,8.445,38.435,72.191
İkitelli-Defne Transfer Merkezi,"99,93%","0,00%",9.047,0,9.053,15.231,,İkitelli-Defne Transfer Merkezi,"99,85%","0,00%",9.039,0,9.045,15.217,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","99,93%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,0,0,0,0,15.231,0,0,,İkitelli-Defne Transfer Merkezi,,15.231,,,0,0,0,,,,,,,,
6 Nisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,35%","99,23%",,,,,,,,,,,,,,,,,,
Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,%,Total Gönderi,,Gece inbound,V1 (01:00-16:00),1,2,,Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
15,"34,76%","34,70%",130.017,129.785,374.058,599.073,,15,"26,86%","29,04%",100.488,108.635,255.246,603.672,,15,"0,00%","70,94%","80,58%","50,69%","0,70%","35,82%","7,60%","16,88%",,15,"0,00%","12,31%","6,10%","31,03%","64,03%","32,19%","48,79%","44,48%",,15,"0,00%","10,62%","9,49%","14,89%","7,49%","25,85%","30,88%","0,77%",,15,"8,14%",599.073,,15.895,64.684,"4,9%","0,6%",,15,"34,76%","34,70%",130.017,129.786,374.058,599.073
Ankara Kazan SC,"14,02%","34,95%",10.588,26.391,75.503,216.562,,Ankara Kazan SC,"13,11%","33,39%",9.896,25.213,48.603,216.562,,Ankara Kazan SC,"0,00%","59,07%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Ankara Kazan SC,"0,00%","12,97%","27,72%","52,17%","53,05%","47,56%","23,87%","0,00%",,Ankara Kazan SC,0,39.745,14.922,31.888,35.297,45.412,49.298,0,,Ankara Kazan SC,,216.562,,,18.242,6.936,2.109,,Pazartesi,"26,50%","44,11%",22.290,37.094,84.099,128.872
Esenyurt SC ,"31,42%","38,08%",29.356,35.577,93.431,113.895,,Esenyurt SC ,"28,04%","38,08%",26.197,35.576,78.589,113.895,,Esenyurt SC ,"0,00%","85,02%","90,97%","15,26%","0,00%","0,01%","0,00%","0,00%",,Esenyurt SC ,"0,00%","9,86%","1,43%","60,81%","0,00%","57,57%","53,77%","0,00%",,Esenyurt SC ,0,7.596,33.307,9.646,0,22.134,41.212,0,,Esenyurt SC ,,113.895,,,7.848,2.511,0,,Salı,"32,49%","36,17%",25.298,28.169,77.871,115.428
Gebze SC,"34,02%","50,68%",33.920,50.531,99.708,125.429,,Gebze SC,"24,82%","34,74%",24.744,34.636,62.302,130.028,,Gebze SC,"0,00%","65,45%","76,19%","63,46%","1,73%","18,92%","12,16%","0,00%",,Gebze SC,"0,00%","25,07%","14,37%","25,58%","80,13%","65,43%","68,54%","66,59%",,Gebze SC,0,7.149,8.652,36.080,9.574,19.428,42.213,2.333,,Gebze SC,,125.429,,,3.812,0,230,,Çarşamba,"29,63%","39,13%",17.118,22.605,57.765,93.221
Bursa MH,"60,01%","10,64%",28.066,4.974,46.768,49.453,,Bursa MH,"47,53%","1,92%",22.229,897,23.310,49.453,,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","61,50%","0,00%","30,30%",,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","9,82%","0,00%","26,89%",,Bursa MH,0,0,0,0,0,47.164,0,2.289,,Bursa MH,,49.453,,,3.982,478,0,,Perşembe,"36,66%","27,26%",21.113,15.701,57.595,92.570
Antalya MH,"8,74%","36,79%",2.925,12.312,33.468,61.589,,Antalya MH,"8,58%","36,79%",2.871,12.312,27.882,61.589,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","43,51%","0,00%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","17,48%","41,64%","0,00%",,Antalya MH,0,0,0,0,0,14.578,47.011,0,,Antalya MH,,61.589,,,30.800,8.232,0,,Cuma,"32,55%","35,93%",17.624,19.453,54.137,89.298
Denizli MH,"99,94%","0,00%",15.500,0,15.509,16.860,,Denizli MH,"31,52%","0,00%",4.889,0,4.889,16.860,,Denizli MH,"0,00%","0,00%","0,00%","99,93%","0,00%","0,00%","99,98%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,11.580,0,0,5.280,0,,Denizli MH,,16.860,,,0,0,0,,Cumartesi,"62,39%","15,88%",26.574,6.764,42.591,79.684
İkitelli-Defne Transfer Merkezi,"99,91%","0,00%",9.662,0,9.671,15.285,,İkitelli-Defne Transfer Merkezi,"99,91%","0,01%",9.662,1,9.671,15.285,,İkitelli-Defne Transfer Merkezi,"0,00%","99,89%","0,00%","0,00%","0,00%","99,93%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,9.112,0,0,0,6.173,0,0,,İkitelli-Defne Transfer Merkezi,,15.285,,,0,0,0,,,,,,,,
13 Nisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,91%","98,81%",,,,,,,,,,,,,,,,,,
Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,17,18,19,20,21,22,23,0,,Mehmet Ali,%,Total Gönderi,Haftalık mp adeti,Gece inbound,V1 (01:00-16:00),1,2,,Mehmet Ali,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
16,"36,21%","34,41%",129.516,123.069,357.647,596.925,,16,"27,16%","29,90%",97.131,106.927,243.311,597.711,,16,"0,00%","55,76%","71,33%","65,41%","4,44%","33,64%","19,60%","32,97%",,16,"0,00%","20,60%","14,53%","18,97%","52,95%","31,29%","48,17%","22,77%",,16,"0,00%","8,44%","9,20%","13,32%","10,46%","25,48%","31,90%","1,19%",,16,"6,90%",596.925,726.365,11.308,52.484,"5,2%","1,4%",,16,"36,21%","34,41%",129.516,123.071,357.647,596.925
Ankara Kazan SC,"11,55%","34,14%",8.686,25.678,75.221,219.321,,Ankara Kazan SC,"10,89%","32,53%",8.193,24.473,48.378,219.321,,Ankara Kazan SC,"0,00%","53,19%","16,72%","1,18%","0,00%","0,00%","0,00%","0,00%",,Ankara Kazan SC,"0,00%","16,48%","39,97%","43,23%","41,88%","38,42%","33,41%","14,01%",,Ankara Kazan SC,0,36.765,16.493,23.214,43.375,44.655,52.867,1.952,,Ankara Kazan SC,,219.321,,,17.560,0,1.142,,Pazartesi,"32,17%","38,11%",25.024,29.642,77.781,121.890
Esenyurt SC ,"29,90%","43,29%",27.744,40.173,92.795,112.157,,Esenyurt SC ,"26,59%","43,29%",24.676,40.173,77.550,112.943,,Esenyurt SC ,"0,00%","59,31%","88,43%","0,00%","14,52%","1,04%","0,00%","0,00%",,Esenyurt SC ,"0,00%","26,29%","4,66%","0,00%","54,28%","66,28%","60,35%","0,00%",,Esenyurt SC ,0,13.601,29.095,0,10.293,18.005,41.163,0,,Esenyurt SC ,,112.157,,,9.150,2.513,3.733,,Salı,"26,88%","42,21%",15.911,24.991,59.201,99.073
Gebze SC,"42,48%","43,46%",40.461,41.393,95.242,125.817,,Gebze SC,"27,97%","29,14%",26.641,27.749,56.705,125.817,,Gebze SC,"0,00%","0,00%","62,37%","74,64%","1,15%","1,62%","22,34%","0,00%",,Gebze SC,"0,00%","0,00%","24,98%","16,30%","73,96%","81,13%","61,16%","0,00%",,Gebze SC,0,0,9.352,47.527,8.781,5.650,54.507,0,,Gebze SC,,125.817,,,13.696,8.465,0,,Çarşamba,"32,85%","36,50%",18.800,20.887,57.229,95.841
Bursa MH,"69,70%","6,47%",33.660,3.124,48.290,50.806,,Bursa MH,"45,06%","3,79%",21.758,1.829,23.630,50.806,,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","73,47%","0,00%","37,40%",,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","4,43%","0,00%","23,95%",,Bursa MH,0,0,0,0,0,45.651,0,5.155,,Bursa MH,,50.806,,,4.604,0,0,,Perşembe,"33,47%","34,88%",18.811,19.602,56.198,95.281
Antalya MH,"0,21%","46,74%",57,12.701,27.173,60.189,,Antalya MH,"0,21%","46,74%",57,12.701,21.227,60.189,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,32%","0,00%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","47,32%","45,67%","0,00%",,Antalya MH,0,0,0,0,0,38.123,22.066,0,,Antalya MH,,60.189,,,7.474,7.474,0,,Cuma,"29,35%","39,78%",15.836,21.462,53.953,87.578
Denizli MH,"99,89%","0,00%",4.597,0,4.602,5.132,,Denizli MH,"32,49%","0,00%",1.495,0,1.497,5.132,,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","99,89%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,0,0,0,0,0,0,5.132,0,,Denizli MH,,5.132,,,0,0,0,,Cumartesi,"65,94%","12,17%",35.134,6.487,53.285,97.262
İkitelli-Defne Transfer Merkezi,"99,91%","0,00%",14.311,0,14.324,23.503,,İkitelli-Defne Transfer Merkezi,"99,91%","0,01%",14.311,2,14.324,23.503,,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","100,00%","0,00%","0,00%","99,86%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,02%","0,00%",,İkitelli-Defne Transfer Merkezi,0,0,0,8.797,0,0,14.706,0,,İkitelli-Defne Transfer Merkezi,,23.503,,,0,0,0,,,,,,,,
20 Nisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,%,Total Gönderi,Haftalık mp adeti,Gece inbound,V1 (01:00-16:00),1,2,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
17,"38,05%","33,77%",134.405,119.297,353.236,579.132,,17,"26,39%","28,83%",93.233,101.844,233.436,579.132,,17,"99,70%","75,60%","73,87%","45,46%","10,14%","48,08%","5,89%","10,82%",,17,"0,07%","8,66%","13,14%","30,88%","59,34%","21,78%","55,93%","30,48%",,17,"2,56%","11,13%","6,31%","16,09%","12,12%","26,54%","23,01%","2,22%",,17,"2,39%",579.132,651.525,22.396,36.223,"1,2%","0,0%",,17,"38,05%","33,77%",134.405,119.299,353.236,579.132
Ankara Kazan SC,"16,97%","33,74%",12.508,24.874,73.727,219.756,,Ankara Kazan SC,"14,93%","32,09%",11.007,23.660,47.425,219.756,,Ankara Kazan SC,"0,00%","59,97%","3,40%","16,45%","0,00%","0,00%","0,00%","0,00%",,Ankara Kazan SC,"0,00%","14,05%","27,60%","36,79%","46,61%","39,53%","40,48%","17,11%",,Ankara Kazan SC,0,42.869,1.427,47.504,37.432,38.214,43.696,8.614,,Ankara Kazan SC,,219.756,,,15.835,4.346,0,,Pazartesi,"27,23%","42,21%",26.055,40.383,95.670,149.108
Esenyurt SC ,"33,91%","40,92%",29.698,35.835,87.574,106.989,,Esenyurt SC ,"29,64%","40,92%",25.956,35.835,73.886,106.989,,Esenyurt SC ,"95,85%","87,80%","75,12%","0,00%","19,17%","2,15%","0,05%","0,00%",,Esenyurt SC ,"0,96%","6,08%","12,88%","0,00%","56,20%","65,68%","60,58%","0,00%",,Esenyurt SC ,1.071,9.063,35.118,0,16.859,7.065,37.813,0,,Esenyurt SC ,,106.989,,,9.620,0,0,,Salı,"35,23%","36,24%",26.058,26.802,73.964,119.876
Gebze SC,"32,54%","49,16%",28.394,42.902,87.264,110.451,,Gebze SC,"21,96%","32,46%",19.163,28.329,51.147,110.451,,Gebze SC,"0,00%","93,91%","0,00%","59,06%","9,58%","42,72%","0,39%","0,00%",,Gebze SC,"0,00%","0,18%","0,00%","28,10%","74,18%","39,48%","72,92%","55,15%",,Gebze SC,0,6.043,0,45.691,15.924,8.296,32.358,2.139,,Gebze SC,,110.451,,,6.405,0,0,,Çarşamba,"41,76%","29,33%",24.843,17.452,59.496,92.877
Bursa MH,"70,57%","5,07%",31.446,2.257,44.557,46.890,,Bursa MH,"47,63%","1,32%",21.223,589,21.869,46.890,,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","72,40%","0,00%","33,06%",,Bursa MH,"0,00%","0,00%","0,00%","0,00%","0,00%","3,94%","0,00%","28,04%",,Bursa MH,0,0,0,0,0,44.759,0,2.131,,Bursa MH,,46.890,,,4.363,0,0,,Perşembe,"51,87%","20,78%",13.128,5.258,25.309,46.386
Antalya MH,"0,54%","48,15%",150,13.429,27.889,54.409,,Antalya MH,"0,54%","48,15%",150,13.429,23.363,54.409,,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,93%","0,00%","0,00%",,Antalya MH,"0,00%","0,00%","0,00%","0,00%","0,00%","47,92%","48,47%","0,00%",,Antalya MH,0,0,0,0,0,40.788,13.621,0,,Antalya MH,,54.409,,,0,0,0,,Cuma,"36,12%","36,78%",22.872,23.291,63.317,103.831
Denizli MH,"99,98%","0,00%",24.019,0,24.023,26.745,,Denizli MH,"31,40%","0,00%",7.544,0,7.544,26.745,,Denizli MH,"100,00%","0,00%","0,00%","0,00%","0,00%","99,97%","99,96%","0,00%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,13.780,0,0,0,0,7.195,5.770,0,,Denizli MH,,26.745,,,0,0,0,,Cumartesi,"60,45%","17,23%",21.449,6.113,35.480,67.054
İkitelli-Defne Transfer Merkezi,"99,85%","0,00%",8.190,0,8.202,13.892,,İkitelli-Defne Transfer Merkezi,"99,85%","0,02%",8.190,2,8.202,13.892,,İkitelli-Defne Transfer Merkezi,"0,00%","99,76%","0,00%","0,00%","0,00%","99,93%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,00%","0,00%","0,00%","0,00%","0,04%","0,00%","0,00%",,İkitelli-Defne Transfer Merkezi,0,6.499,0,0,0,7.393,0,0,,İkitelli-Defne Transfer Merkezi,,13.892,,,0,0,0,,,,,,,,
27 Nisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,17,18,19,20,21,22,23,0,,Buse Nizam,%,Total Gönderi,Haftalık mp adeti,Gece inbound,V1 (01:00-16:00),1,2,,Buse Nizam,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
18,"35,64%","33,35%",95.443,89.304,267.791,445.731,,18,"26,72%","27,33%",71.546,73.194,181.821,445.730,,18,"0,00%","70,32%","82,47%","36,52%","11,74%","39,48%","18,69%","21,11%",,18,"0,00%","10,32%","9,97%","33,43%","60,26%","27,31%","42,55%","19,73%",,18,"0,00%","8,96%","9,09%","12,70%","11,05%","24,27%","32,10%","1,85%",,18,"3,45%",445.731,578.631,7.305,22.666,"2,8%","0,5%",,18,"35,64%","33,35%",95.443,89.307,267.791,445.731
